,BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
33,0,4200,       56544,       59218,HomeImp,Office,          19,           0,           0,211.00259912,           1,          20,19.027704425
34,0,4200,       50216,       58541,HomeImp,Office,          19,           0,           0,209.87130224,           0,          19, 20.20803267
35,0,4300,       68815,       79852,HomeImp,Other,           6,           0,           0,105.12070881,           0,          14,41.806376152
36,0,4400,       53969,       63869,DebtCon,ProfExe,           7,           0,           3,162.39001067,           0,          30,23.581079239
37,1,4400,       53091,       64074,DebtCon,Office,          14,           1,           3, 89.86105825,           0,          17,39.158084834
38,0,4500,,       77182,,,,,,,,,25.227252904
39,0,4500,       71082,       79247,HomeImp,Other,           4,           0,           0,118.76041007,           0,          14,41.421110521
40,1,4500,       34184,       46000,HomeImp,Mgr,         3.5,           0,           1,       122.6,           2,          22,
41,1,4500,       66517,       87000,DebtCon,ProfExe,          10,           0,           4,       125.8,           0,          34,
42,1,4500,      118000,      146870,HomeImp,ProfExe,         4.5,           2,           0,203.86666667,           1,          20,
43,0,4700,       53918,       59511,DebtCon,,           6,,           0, 54.13647743,,          15,34.416507811
44,1,4700,       26900,       45000,HomeImp,ProfExe,           9,           1,           2,90.466666667,           1,          16,
45,0,4900,       65873,       90408,,Mgr,           2,           0,           0,141.85899895,           0,          23, 37.76961861
46,1,4900,       25597,       23031,HomeImp,Other,           5,           0,           0,101.74676644,           0,           8,33.243156978
47,1,4900,       44000,       59745,HomeImp,Other,          10,           0,           0,        81.5,           3,          13,
48,0,4900,      170986,      245300,DebtCon,Sales,,           0,           0,131.93333333,           0,          22,
49,0,4900,       57461,       68494,DebtCon,ProfExe,           8,           0,           4,183.63561323,           0,          30,22.795423552
50,0,5000,       47479,       61690,DebtCon,,           5,,           0,65.032969007,,          16,36.699414922
51,0,5000,       12457,       53448,HomeImp,Self,,           0,           0,207.14348133,           0,          12,44.107951691
52,1,5000,       22320,       34900,HomeImp,Other,          10,           0,           0,        65.7,           1,           5,
53,1,5000,,        9100,HomeImp,Other,           1,           0,           0,54.733333333,           2,           8,
54,1,5000,,       71277,HomeImp,Other,          10,           0,           0,72.433333333,           1,          12,
55,1,5000,      123000,      157500,HomeImp,Mgr,           9,,,,,,
56,1,5000,,       52000,HomeImp,Other,,           0,           1,285.33333333,           0,           6,
57,1,5000,        6000,       38575,HomeImp,Self,           7,           0,           1,335.03333333,           3,          42,
58,1,5000,,       74500,HomeImp,Other,          19,,,,,,
59,0,5000,       72517,       86250,DebtCon,Mgr,          19,           0,           1,300.36666667,           1,          24,
60,0,5000,       39000,       50340,HomeImp,Office,          10,,,179.83333333,,          19,
61,0,5000,       74225,       89640,DebtCon,ProfExe,         0.3,,,,,,
62,0,5000,,       65400,HomeImp,Office,         1.5,           0,           0,51.766666667,           0,           4,
63,1,5000,       81748,,DebtCon,ProfExe,          14,           1,           2,144.06666667,           2,          17,
64,0,5000,       80153,       97275,DebtCon,Other,           1,           0,           0,120.67506316,           2,          10,37.512708409
65,0,5000,       68739,       93435,,Mgr,           3,           0,           0,148.72040469,           0,          23,36.669278612
66,0,5100,      179725,      251962,DebtCon,Sales,,           0,           0,127.49881344,           0,          22,40.308259362
67,0,5100,       72891,       80691,HomeImp,Other,           1,           1,           0,273.88170516,           0,           6,39.852146515
68,0,5100,       87258,      121382,HomeImp,ProfExe,           6,           0,           0,181.66304016,           0,          28,25.444759149
69,1,5100,        9900,       30451,HomeImp,Other,          11,           0,           0,        21.2,           0,           2,
70,1,5100,      129319,      141875,HomeImp,Sales,           7,           1,           0,157.85980209,           0,          36,25.650741224
71,0,5100,       73882,       96031,DebtCon,Other,           0,           0,           0,125.78740011,           1,          10,34.446079222
72,0,5200,       67000,       77000,HomeImp,Other,           9,           0,           1,       119.7,           0,          25,
73,0,5200,       43039,       53521,HomeImp,Office,          11,,,184.29668729,,          19,24.414763177
74,1,5200,,        9500,DebtCon,Other,           1,           0,           1,        81.1,           1,           2,
75,0,5200,       91250,      110000,HomeImp,Office,          24,           0,           0,123.76666667,           1,          12,
76,0,5300,       73698,       84427,DebtCon,,           4,,,,,,19.131201179
77,0,5300,       66987,       65111,HomeImp,Sales,           4,           1,           0,175.32870382,           1,          22,40.442570389
78,0,5300,,       49396,HomeImp,,           0,           0,           0,,           0,           0,12.043670576
79,0,5300,       44993,       50673,HomeImp,Office,           7,,,184.74276716,,          18,27.906122726
80,0,5300,       97132,      117343,HomeImp,Office,          22,           0,           0,109.93390789,           1,          11,  35.8385427
81,0,5300,       47449,       63895,HomeImp,Office,          19,           0,           0,208.16271401,           0,          20,19.762113701
82,0,5400,       47844,       52040,HomeImp,Office,           8,,,189.03430464,,          18,24.701136262
83,1,5400,       45509,       57453,DebtCon,Sales,           4,           0,           0,        95.6,           0,          22,
84,0,5400,       86922,      119846,HomeImp,ProfExe,           5,           0,           0,185.07634726,           1,          28,26.354889295
85,1,5400,       78300,       88000,HomeImp,ProfExe,           8,           0,           0,       102.5,           3,          19,
86,0,5400,       48152,       55760,DebtCon,,           6,,           0,78.452125766,,          16,35.763637997
87,0,5500,,       35402,HomeImp,,,,,,,,35.272073735
88,0,5500,       52897,       65054,HomeImp,Office,          20,           0,           0,189.29531847,           0,          19,20.654128896
89,0,5500,       43486,       81600,DebtCon,,           4,           0,           0,216.13333333,           4,          30,
90,0,5500,       87438,      116679,HomeImp,ProfExe,           6,           0,           0,186.42441602,           1,          27,28.417530896
91,0,5500,       72147,       69918,HomeImp,Sales,           4,           2,           0, 158.5344979,           0,          23,43.404430238
92,1,5500,,       12972,HomeImp,Other,           1,           0,           1,82.294266354,           0,           2,36.986744097
93,1,5500,       37368,       48502,HomeImp,Mgr,           9,           0,           2,48.995845002,           0,          10,33.126483967
94,1,5500,       85845,      122205,DebtCon,ProfExe,           5,           0,           0,172.21327665,           1,          26,32.676640875
95,0,5600,       53793,       66379,HomeImp,Office,          22,           0,           0,206.09913412,           0,          19,18.369540527
96,0,5600,       29648,       39907,HomeImp,ProfExe,          11,           0,           0,180.56306914,           0,          13,21.554949656
97,1,5600,       55160,       86800,HomeImp,Other,           3,           1,           1,148.13333333,           1,          14,
98,0,5600,       41439,       53893,HomeImp,Office,           8,,,181.32298993,,          19,24.651395744
99,0,5700,       49514,       58249,HomeImp,Office,          21,           0,           0,212.53911509,           0,          21,21.258026878
100,0,5700,       28127,       36524,HomeImp,ProfExe,          10,           0,           0,181.28295679,           0,          13,24.339533569
101,0,5700,       26927,       35461,DebtCon,Other,           0,           1,           0,21.799352154,          10,           6,29.439664242
102,0,5700,       49806,       82242,DebtCon,,           3,           0,           0,210.34747857,           3,          30,31.243408701
103,1,5700,       58400,       75000,HomeImp,ProfExe,           4,           0,           0,       177.5,           2,          26,
104,0,5700,       62319,       82923,HomeImp,Other,           4,           0,           0, 117.6739652,           0,          15,42.464866285
105,0,5700,       71556,       79538,HomeImp,Other,           2,           0,           0,92.643084556,           0,          15, 41.21001247
106,0,5700,,       69172,HomeImp,Office,           1,           0,           0,48.853667057,           0,           3,38.773685963
107,0,5800,,       36385,HomeImp,Other,           2,           0,           0,266.55339438,           1,          25,43.309764541
108,0,5800,       46595,       58191,HomeImp,Other,           5,           0,           0,80.131746414,           0,          17,24.140153667
109,1,5900,,       28000,DebtCon,Self,           1,           2,           1,36.766666667,           1,           8,
110,0,5900,       74187,       78976,HomeImp,Other,           9,           0,           1,118.44249103,           0,          24,40.110407425
111,0,5900,,       66903,,,,,,,,,32.782926828
112,1,5900,      106650,,DebtCon,Mgr,           1,           0,           6,250.56666667,           4,          23,
113,0,6000,       95232,      115977,HomeImp,Office,          22,           0,           0, 149.0229081,           1,          12,37.954336913
114,1,6000,       47625,       85925,HomeImp,Office,         0.1,           2,           1,154.13333333,           4,          26,
115,1,6000,       65000,       94355,,Other,          26,           1,           3,        69.3,           1,          34,
116,1,6000,,,HomeImp,Office,          13,,           2,122.76666667,,          23,
117,1,6000,       42000,       58305,DebtCon,Other,          19,           0,           0,          90,           2,          13,
118,1,6000,        9660,       35900,DebtCon,Other,           8,           0,           1,       136.3,           3,           6,
119,1,6000,       22859,       32200,DebtCon,Other,           4,           0,           0,83.333333333,           3,          20,
120,1,6000,       16878,       25850,,Mgr,           1,           0,           1,       218.6,           5,          34,
121,0,6000,       69876,    94394.07,HomeImp,Other,           0,           0,           1,179.56666667,           0,          32,
122,0,6000,,       43300,HomeImp,Other,,,,100.93333333,,           9,
123,0,6000,       14000,       61493,HomeImp,Office,          23,           0,           0,321.63333333,           1,          13,
124,1,6000,       40000,       54600,HomeImp,ProfExe,           4,           0,           4,       101.4,           0,          19,
125,1,6000,       18793,       27750,HomeImp,Mgr,           6,           0,           3,       119.7,           0,           8,
126,1,6000,      179397,      200000,DebtCon,ProfExe,           5,           6,           0,        90.3,           6,          29,
127,0,6000,       79046,      103048,HomeImp,Other,           0,           0,           0,181.69653802,           0,          32,37.289989924
128,0,6000,,       53190,HomeImp,,           0,           0,           0,,           0,           0,15.174415003
129,1,6000,,       43683,HomeImp,Other,,,,,,,21.935498813
130,0,6000,      129731,      154113,HomeImp,ProfExe,          12,           0,           0,213.53333333,           0,          19,
131,0,6100,       48500,       62500,DebtCon,Mgr,           7,,           4,       111.3,           2,          11,
132,0,6100,,       35250,HomeImp,Other,,,,         303,,          12,
133,0,6100,       79636,       87276,HomeImp,Other,          20,           0,           0,350.43613755,           0,          47,28.848276581
134,0,6100,,       46830,HomeImp,,           0,           0,           1,,           0,           0,13.306013076
135,0,6200,      171582,      245730,DebtCon,Sales,,           0,           0,135.10893025,           0,          22,39.783818126
136,0,6200,,       80078,,,,,,,,,25.375544161
137,0,6200,       70793,       71552,HomeImp,Sales,           3,           2,           0,162.94515692,           0,          23,40.315396587
138,0,6200,       73881,       98550,HomeImp,Other,           0,           0,           1, 182.8787798,           0,          31, 37.19944569
139,0,6200,       75121,       96462,DebtCon,ProfExe,           0,,,,,,27.167655962
140,0,6200,       75623,       89634,HomeImp,Other,          24,           0,           0,324.68682941,           0,          47,28.285532103
141,0,6200,       45564,       61956,HomeImp,Other,           2,           0,,101.16706032,,          13,38.675140153
142,0,6300,,       72890,HomeImp,Office,           1,           0,           0,41.250113587,           0,           3,39.198068218
143,0,6300,       44226,       57779,DebtCon,,           7,,           0,63.626413251,,          16,33.111829109
144,1,6300,       65875,       76000,DebtCon,Mgr,         0.8,           2,           0,          84,           1,          12,
145,0,6300,       45582,       89005,DebtCon,,           2,           0,           0,209.35804693,           4,          30,29.595955514
146,0,6300,       49498,       64296,DebtCon,Mgr,           6,,           4,111.20651324,           1,          10,38.577131937
147,0,6300,       79667,       96988,DebtCon,ProfExe,           1,,,,,,29.835960721
148,1,6300,       12476,       32559,HomeImp,Office,          12,           3,           6,227.12990511,           0,          23, 23.31951678
149,0,6300,       26655,       29792,DebtCon,Other,           1,           1,           0,12.759267447,          10,           6, 28.36185178
150,0,6400,       76577,       83200,DebtCon,,           5,,,,,,22.055034214
151,0,6400,       53476,       70157,DebtCon,ProfExe,           7,           0,           3,164.31540986,           1,          30,21.137981572
152,0,6400,       81116,       86148,HomeImp,ProfExe,           8,           0,           0,262.17542613,           0,          11,42.068268179
153,0,6400,       17491,       63614,HomeImp,Office,          23,           0,           0,325.29930871,           0,          12,40.244404369
154,0,6400,       65215,       74332,HomeImp,Mgr,           9,,           1, 213.8321032,           0,          24, 40.64461955
155,0,6400,       70035,       78635,DebtCon,Sales,           3,           0,           0,147.07716353,           0,          31,31.206129763
156,0,6400,       51436,       91284,DebtCon,,           4,           0,           0,209.64289843,           2,          30,31.971971208
157,0,6400,       44968,       62747,HomeImp,Other,           0,           1,,101.39144532,,          12,36.602947343
158,0,6400,       28041,       33438,DebtCon,Other,           1,           1,           0, 10.42564285,          10,           6,29.753700283
159,0,6500,       63144,       76754,HomeImp,Mgr,           2,           0,           2, 129.0777116,           0,          23,29.055433128
160,1,6500,       48000,       61000,DebtCon,Other,           1,           1,           0,97.299756098,           6,          38,
161,0,6500,       55000,       88300,HomeImp,Office,          29,           0,           0,       234.4,           1,          17,
162,0,6500,       81145,      117530,HomeImp,Office,          29,           0,           0,327.20063852,           1,          38,34.345837692
163,0,6600,       62380,       89742,HomeImp,Office,          31,           0,           0,232.52729073,           0,          16,26.160494887
164,0,6600,,       48800,HomeImp,,           0,           0,           0,,           0,           0,12.219436152
165,0,6600,       98415,      126636,HomeImp,Other,          11,,,423.20962409,           2,          49,40.957090317
166,0,6700,,       55396,,,,,,,,,15.703991562
167,0,6700,       55113,       56486,HomeImp,Other,           4,           0,           0,84.417030462,           0,          17,23.642853829
168,0,6700,,       30544,DebtCon,Other,           2,           0,           0,283.89723134,           0,          14,24.120451557
169,0,6700,       58741,       68225,DebtCon,ProfExe,           9,           0,           3, 173.5744163,           1,          31,23.587013228
170,0,6700,       69773,       83014,HomeImp,Other,           0,           1,           0,263.17343429,           0,           5, 37.70699649
171,0,6700,       66587,       70710,DebtCon,ProfExe,           9,           1,           0,43.923382631,           1,          24,39.738576265
172,0,6800,       49809,       65074,DebtCon,Mgr,           7,,           4, 116.6327333,           3,          10,39.215028911
173,0,6800,      139578,      154602,HomeImp,ProfExe,          12,           0,           0,201.96083432,           0,          18,22.325828788
174,0,6800,       76074,       88178,HomeImp,Other,          22,           0,           0,341.46505556,           0,          46,27.523246143
175,0,6800,       56155,       57912,HomeImp,Office,          21,           0,           0,206.30632134,           0,          20,21.798513082
176,0,6800,      178559,      247611,DebtCon,Sales,,           0,           0,127.23414105,           0,          22,42.083901678
177,0,6800,,       72310,HomeImp,Office,           1,           0,           0,48.818836477,           0,           3,40.787393229
178,0,6800,       75964,       88754,DebtCon,Mgr,          19,           0,           1,298.70048215,           0,          23,39.107501643
179,0,6900,       75880,      113612,DebtCon,Office,           1,           0,           0,230.80558812,           1,          38,17.965883444
180,1,6900,        5816,,HomeImp,Mgr,          23,           0,           2,        67.8,           1,          18,
181,1,6900,       57257,       63752,DebtCon,Other,          10,           2,           0,138.23477796,           0,          22,38.372460882
182,1,6900,       37055,       83000,HomeImp,Sales,           1,           0,           0,122.26666667,           2,          43,
183,0,6900,,       57067,,,,,,,,,14.370985949
184,0,6900,       49932,       66042,HomeImp,Office,          20,           0,           0,204.48458275,           0,          19,21.855494126
185,0,6900,       51384,       84689,DebtCon,,           4,           0,           0, 224.2470369,           3,          29,30.526150723
186,0,7000,,       47462,HomeImp,Other,,,, 102.6573271,,           9,36.094071425
187,1,7000,       66000,       86300,DebtCon,Other,           3,           1,           1,242.43333333,           0,           8,
188,0,7000,       58843,       75300,HomeImp,Other,         1.5,           0,           0,103.66666667,           0,           7,
189,0,7000,       29000,       49000,DebtCon,Other,          11,           0,           0,       234.4,           1,          32,
190,0,7000,       56636,       76353,HomeImp,Other,          15,           0,           0,       229.3,           1,          36,
191,0,7000,       55000,       63000,HomeImp,Other,           5,           0,           0,84.733333333,           3,          20,
192,1,7000,       83000,       97635,HomeImp,Other,         5.6,           3,           0,         141,           0,          10,
193,0,7000,       58114,       93391,HomeImp,ProfExe,           6,           0,           0,200.07775507,           1,          24,31.736511786
194,1,7100,       39000,       55000,,Other,          12,           0,           1,192.76666667,           2,          31,
195,1,7100,       54000,       74800,DebtCon,Mgr,         7.5,           1,           1,          71,           4,          18,
196,0,7100,,       74753,HomeImp,Office,           2,           0,           0,48.854644654,           0,           4,41.302546904
197,0,7100,       25896,       33580,DebtCon,Other,           1,           0,           0,29.856365166,           9,           7,28.271474159
198,0,7100,       57863,       70969,DebtCon,Other,           0,           0,           0,65.872044812,           7,          21,26.829490191
199,0,7100,       53273,       54378,HomeImp,Other,           5,           0,           0,84.837249966,           0,          17,22.861199646
200,0,7200,       57912,       84806,HomeImp,Other,          15,           0,           0,241.51424984,           0,          35,35.062675655
201,0,7200,       79946,      113807,DebtCon,Office,           1,           0,           0,238.45882498,           0,          37,18.617288691
202,0,7200,       36264,       48240,DebtCon,Other,          15,           0,           0,82.166666667,           0,          12,
203,1,7200,       46000,       67000,DebtCon,Other,          24,           0,           0,         142,           1,          14,
204,0,7200,,       38061,HomeImp,Other,,,,299.75272612,,          12,31.880033183
205,0,7200,       71667,      117325,DebtCon,Office,           0,           0,           1,241.05607809,           1,          38,18.510551331
206,1,7200,,       76723,HomeImp,Other,          10,           0,           0,70.193890188,           0,          11,41.250706258
207,0,7200,       71509,       86484,DebtCon,,           4,,,,,,20.099049784
208,1,7300,       58671,       87975,HomeImp,Mgr,           3,           0,           0,74.066666667,           1,          16,
209,1,7300,       60890,       75785,DebtCon,Other,           6,           0,           1,45.966666667,           0,          13,
210,0,7300,      139348,      205981,DebtCon,ProfExe,           1,           0,           0,60.424760757,           2,          22,36.812290634
211,0,7400,       88288,      119677,HomeImp,ProfExe,           5,           0,           0,194.37214004,           1,          27,26.646083641
212,0,7400,       48924,       86612,DebtCon,,           4,           0,           0,207.76841442,           4,          30,29.937917829
213,0,7400,,       54138,HomeImp,,           1,           0,           0,,           0,           0,12.219679961
214,0,7400,       56596,       72861,HomeImp,Mgr,           3,           0,           1,141.96214925,           0,          23,28.300245637
215,0,7400,       65032,       83184,HomeImp,Other,          15,           0,           0,230.42025592,           1,          35,35.415112916
216,0,7400,       72739,       91425,DebtCon,ProfExe,         3.5,           0,           0,128.83333333,           0,          26,
217,1,7500,,       51610,HomeImp,ProfExe,           4,           0,           3,158.26666667,           2,          18,
218,0,7500,       45864,       57799,DebtCon,,           7,,           0, 65.57119786,,          16,33.865745347
219,0,7500,,       49804,,,,,,,,,12.391235037
220,0,7500,       88056,      104794,DebtCon,ProfExe,          25,           0,           0,56.750113136,           2,          14,30.538906969
221,0,7500,       11358,       36892,DebtCon,Other,           5,           0,           0, 286.9228238,           0,          11, 23.06292573
222,1,7500,       59000,       72000,HomeImp,Office,           5,           0,           3,295.86666667,           0,          19,
223,1,7500,,,HomeImp,Other,          21,,,       158.9,           1,          21,
224,1,7500,       35945,       49750,HomeImp,Other,           3,           0,           0,122.06666667,           0,          23,
225,1,7500,       63500,       86125,HomeImp,Other,           5,           0,           0,       136.1,           0,           8,
226,1,7500,       33600,       50125,DebtCon,Other,           2,           0,           0,146.93333333,           0,          18,
227,1,7500,       60000,       87830,HomeImp,Other,           5,           0,           0,153.26666667,           2,          16,
228,0,7500,,       26850,HomeImp,Office,          20,           0,           0,185.63333333,           1,          16,
229,0,7500,       49100,       85650,HomeImp,Other,          18,           0,           0,178.33466667,           0,          29,
230,1,7500,       39600,       42000,DebtCon,Self,           1,           0,           0,        47.7,           1,          15,
231,1,7500,       42077,       91676,HomeImp,Office,         5.5,           1,           4,       344.9,           1,          30,
232,1,7500,,,HomeImp,Other,          20,,,157.32842275,           0,          20,
233,0,7500,       67778,       83368,DebtCon,ProfExe,          15,           0,           0,227.29208976,           0,          17,24.091770363
234,0,7500,       60192,       76475,DebtCon,ProfExe,           8,           0,           0,60.503625209,           2,          24,39.280512379
235,0,7600,       77518,       83727,DebtCon,,           4,,,,,,22.655140286
236,0,7600,       48829,       62357,DebtCon,Office,           3,           0,           1,92.941357816,           2,          12,35.672273609
237,0,7600,,       28593,HomeImp,Office,          20,           0,           0,180.16893732,           0,          16,35.583403169
238,0,7700,       14776,       32287,,,,,,,,,34.880462318
239,0,7700,       53377,       86018,HomeImp,Other,          16,           0,           0,187.19401123,           0,          28,24.217658483
240,1,7700,       14589,       33100,DebtCon,Other,           3,           0,           7,122.06666667,           0,          22,
241,0,7700,       76056,       83643,HomeImp,Other,          22,           0,           0,353.19562851,           0,          47,28.544528867
242,0,7800,       44000,       57500,DebtCon,Other,          11,           0,           0,95.366666667,           0,          23,
243,1,7800,,       11702,HomeImp,Other,           0,           0,           0,44.629591574,           2,           7,21.271785371
244,0,7800,       58399,       65945,DebtCon,Other,           1,           0,           1,106.63134156,           2,          18, 37.02476444
245,0,7800,       64503,       85608,HomeImp,Other,          12,           0,           0, 235.4853772,           0,          35,34.423248847
246,0,7800,       69662,       80498,HomeImp,Other,           4,           0,           0,100.42833098,           0,          14,42.807341953
247,0,7800,       55000,       62800,HomeImp,Other,           6,           0,           0,123.03333333,           0,          34,
248,0,7800,      109000,      123500,DebtCon,Self,           6,           0,           1,174.46666667,           0,          19,
249,0,7800,       53243,       95065,HomeImp,ProfExe,           7,           0,           0,220.80244426,           2,          24,31.827626823
250,1,7900,      126919,      166566,HomeImp,Mgr,          10,,,,,,
251,0,7900,       40827,       55757,DebtCon,Other,          14,           0,           0,87.603462439,           0,          11,31.850563903
252,0,7900,,       71519,HomeImp,Office,           0,           0,           0,55.873860215,           0,           4,38.375091295
253,1,7900,       55383,       70020,DebtCon,Other,          12,           2,           0,80.778941503,          10,           8,44.858977324
254,0,7900,       41935,       53543,DebtCon,Office,           8,           0,           0,203.54460997,           1,          22,31.491686795
255,0,8000,       45557,       56235,DebtCon,,           7,,           1,84.691134882,,          16,36.503160752
256,0,8000,       61565,       87624,DebtCon,ProfExe,          14,           0,           0, 203.9971364,           0,          17,23.562565007
257,0,8000,       82547,      105361,DebtCon,ProfExe,          24,           0,           0, 52.59326412,           2,          13,32.160922592
258,0,8000,       70546,       81272,DebtCon,Sales,           4,           0,           0,119.06692204,           0,          31,33.361586301
259,0,8000,      177683,      251771,DebtCon,Sales,,           0,           0,138.51160087,           0,          22,39.735448824
260,1,8000,       49685,       81020,HomeImp,Other,           2,           0,           3, 129.3624659,           0,          15,47.000975215
261,1,8000,       28000,       41950,DebtCon,Office,           2,           0,           0,       103.4,           1,          20,
262,1,8000,       61000,       90450,HomeImp,Other,           4,           2,           1,139.86666667,           0,           9,
263,1,8000,       58000,       73750,DebtCon,Mgr,          22,           0,           4,221.43333333,           1,          20,
264,1,8000,     33689.3,       48000,DebtCon,Other,           3,           0,           0,103.73333333,           0,          13,
265,1,8000,       47306,       68350,HomeImp,Other,           9,           0,           0,82.633333333,           0,          20,
266,0,8000,       45000,       56100,HomeImp,Other,         9.9,           0,           0,        92.3,           3,          34,
267,0,8000,       69341,       86900,DebtCon,Office,          15,           0,           1,89.266666667,           0,           9,
268,0,8000,       70917,       83500,DebtCon,Mgr,           8,           0,           0,       107.5,           0,          23,
269,0,8000,,       34226,HomeImp,Other,,,           1,75.366666667,           1,          10,
270,0,8000,       38758,    46466.26,HomeImp,Mgr,          21,           1,           1,       229.3,           1,          18,
271,0,8000,       63700,       79754,DebtCon,,         3.8,           0,           0,         208,           0,          16,
272,0,8000,       41000,       54000,DebtCon,Mgr,           4,           0,           0,       189.7,           1,          22,
273,0,8000,       65000,       93600,DebtCon,Other,          16,,,140.06666667,           4,          16,
274,1,8000,       37871,,HomeImp,ProfExe,          15,           6,           2,179.63333333,           0,          30,
275,1,8000,        4500,,DebtCon,Other,           1,           3,           2,102.43333333,           6,          15,
276,1,8000,       63152,,DebtCon,Other,           9,           1,           1,       132.9,           1,          26,
277,1,8000,       86804,      113000,DebtCon,Other,           7,           1,           3,145.16666667,           1,          20,
278,1,8000,       92487,      113947,DebtCon,Other,           8,           0,           3,151.81738872,           0,          19,26.457524449
279,0,8000,       57361,       71167,HomeImp,Mgr,           2,           0,           1,130.76703495,           0,          22,29.381985445
280,0,8000,,       49000,HomeImp,Other,          11,           1,           0,       310.4,           2,          13,
281,0,8000,       84730,      123455,HomeImp,Other,           9,,,,,,40.032649334
282,0,8000,       58006,       94930,HomeImp,ProfExe,           4,           0,           0,223.20298954,           2,          24,30.913395837
283,0,8000,,       68572,HomeImp,Office,           1,           0,           0,53.935137714,           0,           4,37.703911499
284,0,8100,       43553,       88242,DebtCon,,           2,           0,           0,207.94046872,           4,          30,31.329651718
285,0,8100,       84822,      123854,HomeImp,Office,          31,           0,           0, 340.7444307,           2,          38,36.205114552
286,0,8100,       81322,       97823,DebtCon,ProfExe,           3,           0,           0,118.46850599,           0,          25,32.716777591
287,0,8100,       13179,       32981,,,,,,,,,31.742249284
288,0,8100,       69047,       82113,DebtCon,Sales,           3,           0,           0,121.41114886,           0,          30,35.073918357
289,0,8100,       26886,       36527,HomeImp,ProfExe,          12,           0,           0,188.41982641,           0,          13,24.865567185
290,1,8100,       28523,       39816,DebtCon,Other,           5,           0,           0,130.64393328,           0,          16,37.393526416
291,0,8100,       28187,       32584,DebtCon,Other,           0,           1,           0,27.048834712,          10,           7,29.287956831
292,0,8100,       50373,       65865,DebtCon,Office,           5,           0,           0,99.598169948,           2,          11,38.910150834
293,0,8200,       10909,       37286,DebtCon,Other,           3,           0,           0,268.25460165,           0,          12,22.232952814
294,0,8200,,       50061,HomeImp,Other,          10,           0,           0, 296.9016386,           1,          13,33.632136517
