,Unnamed: 0,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC
23,372,"[8316, 10070)","[76070, 83415)","[76844, 93780)",DebtCon,Mgr,"[18, 19)",0,0,"[257, 280)",0,23,"[37, 40)"
24,459,"[8316, 10070)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[1, 2)",0,0,"[70, 93)",2,24,"[37, 40)"
25,407,"[8316, 10070)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[2, 3)",0,0,"[46, 70)",2,23,"[37, 40)"
26,352,"[8316, 10070)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[3, 4)",0,0,"[46, 70)",2,24,"[37, 40)"
27,361,"[8316, 10070)","[105450, 112795)",nan,DebtCon,Mgr,"[0, 1)",0,6,"[233, 257)",4,23,nan
28,574,"[10070, 11824)","[17309, 24654)","[26036, 42972)",DebtCon,Mgr,"[13, 14)",0,0,"[70, 93)",5,14,nan
29,531,"[10070, 11824)","[31999, 39344)","[59908, 76844)",DebtCon,Mgr,nan,nan,nan,nan,nan,nan,"[34, 37)"
30,566,"[10070, 11824)","[31999, 39344)","[59908, 76844)",DebtCon,Mgr,nan,nan,nan,nan,nan,nan,"[37, 40)"
31,684,"[10070, 11824)","[31999, 39344)","[59908, 76844)",DebtCon,Mgr,nan,nan,nan,nan,nan,nan,"[37, 40)"
32,697,"[10070, 11824)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[5, 6)",nan,nan,"[116, 140)",nan,24,"[40, 43)"
33,614,"[10070, 11824)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[6, 7)",0,0,"[93, 116)",0,13,nan
34,645,"[10070, 11824)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[4, 5)",0,0,"[187, 210)",1,16,"[28, 31)"
35,689,"[10070, 11824)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[4, 5)",0,0,"[187, 210)",2,16,"[25, 28)"
36,526,"[10070, 11824)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[5, 6)",0,0,"[187, 210)",1,17,"[28, 31)"
37,606,"[10070, 11824)","[54034, 61379)","[93780, 110717)",DebtCon,Mgr,"[3, 4)",1,1,"[116, 140)",1,17,"[40, 43)"
38,682,"[10070, 11824)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[3, 4)",3,0,"[70, 93)",0,22,nan
39,649,"[10070, 11824)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[5, 6)",0,0,"[140, 163)",2,27,"[40, 43)"
40,594,"[10070, 11824)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[6, 7)",0,0,"[93, 116)",0,23,"[28, 31)"
41,559,"[10070, 11824)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[6, 7)",0,0,"[116, 140)",2,27,nan
42,685,"[10070, 11824)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[7, 8)",0,0,"[116, 140)",0,23,"[28, 31)"
43,637,"[10070, 11824)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[12, 13)",0,1,"[116, 140)",2,23,"[43, 46)"
44,676,"[10070, 11824)","[76070, 83415)","[76844, 93780)",DebtCon,Mgr,"[5, 6)",0,0,"[116, 140)",2,27,"[40, 43)"
45,643,"[10070, 11824)","[76070, 83415)","[76844, 93780)",DebtCon,Mgr,"[6, 7)",0,0,"[140, 163)",2,26,"[37, 40)"
46,688,"[10070, 11824)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[1, 2)",0,0,"[46, 70)",2,24,"[37, 40)"
47,579,"[10070, 11824)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[1, 2)",0,0,"[46, 70)",2,24,"[40, 43)"
48,544,"[10070, 11824)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[2, 3)",0,0,"[70, 93)",2,24,"[37, 40)"
49,596,"[10070, 11824)","[83415, 90760)","[76844, 93780)",DebtCon,Mgr,"[5, 6)",0,0,"[116, 140)",1,26,"[40, 43)"
50,739,"[11824, 13578)","[9964, 17309)","[26036, 42972)",DebtCon,Mgr,"[9, 10)",0,0,"[116, 140)",0,11,nan
51,831,"[11824, 13578)","[17309, 24654)","[26036, 42972)",DebtCon,Mgr,"[8, 9)",0,0,"[116, 140)",0,10,"[20, 23)"
52,746,"[11824, 13578)","[17309, 24654)","[26036, 42972)",DebtCon,Mgr,"[9, 10)",0,0,"[116, 140)",0,10,"[20, 23)"
53,875,"[11824, 13578)","[31999, 39344)","[42972, 59908)",DebtCon,Mgr,nan,nan,nan,nan,nan,nan,"[34, 37)"
54,851,"[11824, 13578)","[39344, 46689)","[42972, 59908)",DebtCon,Mgr,nan,nan,nan,nan,nan,nan,"[34, 37)"
55,895,"[11824, 13578)","[39344, 46689)","[59908, 76844)",DebtCon,Mgr,nan,nan,nan,nan,nan,nan,"[37, 40)"
56,822,"[11824, 13578)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[5, 6)",nan,nan,"[116, 140)",nan,24,"[37, 40)"
57,866,"[11824, 13578)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[6, 7)",0,1,"[210, 233)",1,33,nan
58,707,"[11824, 13578)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[10, 11)",1,0,"[70, 93)",1,19,"[28, 31)"
59,740,"[11824, 13578)","[61379, 68724)","[76844, 93780)",DebtCon,Mgr,"[5, 6)",0,0,"[140, 163)",1,32,nan
60,771,"[11824, 13578)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[4, 5)",0,0,"[280, 303)",1,23,nan
61,788,"[11824, 13578)","[76070, 83415)","[76844, 93780)",DebtCon,Mgr,"[20, 21)",0,0,"[210, 233)",10,23,"[34, 37)"
62,726,"[11824, 13578)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[5, 6)",0,0,"[140, 163)",2,27,"[40, 43)"
63,816,"[11824, 13578)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[6, 7)",0,0,"[116, 140)",2,27,"[37, 40)"
64,813,"[11824, 13578)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[6, 7)",0,0,"[140, 163)",2,26,"[40, 43)"
65,769,"[11824, 13578)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[19, 20)",0,0,"[233, 257)",10,24,"[34, 37)"
66,723,"[11824, 13578)","[112795, 120140)","[127653, 144589)",DebtCon,Mgr,"[10, 11)",0,0,"[93, 116)",0,25,nan
67,846,"[11824, 13578)","[171556, 178901)","[195397, 212334)",DebtCon,Mgr,"[3, 4)",0,2,"[187, 210)",1,50,nan
68,1009,"[13578, 15332)","[24654, 31999)","[26036, 42972)",DebtCon,Mgr,"[17, 18)",0,0,"[70, 93)",0,17,"[23, 25)"
69,911,"[13578, 15332)","[39344, 46689)","[59908, 76844)",DebtCon,Mgr,"[4, 5)",0,0,"[116, 140)",1,9,nan
70,1097,"[13578, 15332)","[39344, 46689)","[59908, 76844)",DebtCon,Mgr,"[5, 6)",0,0,"[116, 140)",0,9,"[28, 31)"
71,1094,"[13578, 15332)","[39344, 46689)","[59908, 76844)",DebtCon,Mgr,"[27, 28)",1,0,"[257, 280)",1,17,"[37, 40)"
72,954,"[13578, 15332)","[39344, 46689)","[59908, 76844)",DebtCon,Mgr,"[27, 28)",1,0,"[280, 303)",1,17,nan
73,974,"[13578, 15332)","[39344, 46689)","[76844, 93780)",DebtCon,Mgr,"[4, 5)",0,0,"[93, 116)",0,9,"[28, 31)"
74,1032,"[13578, 15332)","[39344, 46689)","[76844, 93780)",DebtCon,Mgr,"[5, 6)",0,0,"[116, 140)",1,8,"[25, 28)"
75,967,"[13578, 15332)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[26, 27)",0,0,"[257, 280)",1,16,"[34, 37)"
76,1103,"[13578, 15332)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[27, 28)",0,0,"[257, 280)",1,16,"[37, 40)"
77,1041,"[13578, 15332)","[46689, 54034)","[76844, 93780)",DebtCon,Mgr,"[3, 4)",0,0,"[93, 116)",0,8,"[28, 31)"
78,920,"[13578, 15332)","[54034, 61379)","[76844, 93780)",DebtCon,Mgr,"[12, 13)",0,0,"[163, 187)",0,31,nan
79,912,"[13578, 15332)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[16, 17)",0,0,nan,0,0,nan
80,1007,"[13578, 15332)","[98105, 105450)","[110717, 127653)",DebtCon,Mgr,"[5, 6)",nan,nan,"[257, 280)",2,41,"[37, 40)"
81,1065,"[13578, 15332)","[134830, 142175)","[161525, 178461)",DebtCon,Mgr,"[11, 12)",0,0,"[233, 257)",0,21,nan
82,1106,"[13578, 15332)","[142175, 149521)","[161525, 178461)",DebtCon,Mgr,"[12, 13)",0,0,"[257, 280)",0,21,"[25, 28)"
83,1010,"[13578, 15332)","[142175, 149521)","[161525, 178461)",DebtCon,Mgr,"[13, 14)",0,0,"[163, 187)",0,31,"[34, 37)"
84,1156,"[15332, 17086)","[9964, 17309)","[26036, 42972)",DebtCon,Mgr,"[9, 10)",0,0,"[116, 140)",0,10,"[23, 25)"
85,1264,"[15332, 17086)","[17309, 24654)","[26036, 42972)",DebtCon,Mgr,"[17, 18)",1,0,"[93, 116)",0,17,"[25, 28)"
86,1168,"[15332, 17086)","[17309, 24654)","[42972, 59908)",DebtCon,Mgr,"[8, 9)",0,0,"[93, 116)",0,11,"[20, 23)"
87,1212,"[15332, 17086)","[17309, 24654)","[195397, 212334)",DebtCon,Mgr,"[9, 10)",7,3,"[140, 163)",10,41,"[31, 34)"
88,1144,"[15332, 17086)","[24654, 31999)","[42972, 59908)",DebtCon,Mgr,"[21, 22)",1,2,"[210, 233)",0,19,nan
89,1249,"[15332, 17086)","[39344, 46689)","[59908, 76844)",DebtCon,Mgr,"[4, 5)",0,0,"[116, 140)",1,8,"[28, 31)"
90,1242,"[15332, 17086)","[46689, 54034)",nan,DebtCon,Mgr,"[1, 2)",0,0,"[116, 140)",3,11,nan
91,1285,"[15332, 17086)","[54034, 61379)","[59908, 76844)",DebtCon,Mgr,"[5, 6)",1,0,"[163, 187)",6,35,nan
92,1298,"[15332, 17086)","[54034, 61379)","[110717, 127653)",DebtCon,Mgr,"[9, 10)",0,5,"[233, 257)",0,40,nan
93,1192,"[15332, 17086)","[61379, 68724)","[76844, 93780)",DebtCon,Mgr,"[0, 1)",0,0,"[70, 93)",0,17,nan
94,1164,"[15332, 17086)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[16, 17)",0,0,nan,0,0,"[37, 40)"
95,1141,"[15332, 17086)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[19, 20)",0,0,"[233, 257)",11,24,"[34, 37)"
96,1139,"[15332, 17086)","[76070, 83415)","[76844, 93780)",DebtCon,Mgr,"[19, 20)",0,0,"[233, 257)",10,23,"[34, 37)"
97,1210,"[15332, 17086)","[83415, 90760)","[127653, 144589)",DebtCon,Mgr,"[17, 18)",0,5,"[116, 140)",9,19,"[43, 46)"
98,1167,"[15332, 17086)","[90760, 98105)","[127653, 144589)",DebtCon,Mgr,"[4, 5)",nan,nan,"[233, 257)",2,42,"[37, 40)"
99,1292,"[15332, 17086)","[90760, 98105)","[144589, 161525)",DebtCon,Mgr,"[0, 1)",0,0,"[210, 233)",1,18,"[37, 40)"
100,1174,"[15332, 17086)","[90760, 98105)","[144589, 161525)",DebtCon,Mgr,"[1, 2)",0,0,"[210, 233)",0,19,"[40, 43)"
101,1158,"[15332, 17086)","[98105, 105450)","[127653, 144589)",DebtCon,Mgr,"[5, 6)",nan,nan,"[233, 257)",2,41,"[37, 40)"
102,1288,"[15332, 17086)","[120140, 127485)","[144589, 161525)",DebtCon,Mgr,nan,0,0,"[210, 233)",0,18,"[37, 40)"
103,1190,"[15332, 17086)","[127485, 134830)","[144589, 161525)",DebtCon,Mgr,nan,0,0,"[210, 233)",0,18,"[37, 40)"
104,1136,"[15332, 17086)","[127485, 134830)","[144589, 161525)",DebtCon,Mgr,nan,0,0,"[210, 233)",0,19,"[37, 40)"
105,1272,"[15332, 17086)","[142175, 149521)","[178461, 195397)",DebtCon,Mgr,"[11, 12)",0,0,"[233, 257)",0,20,"[25, 28)"
106,1399,"[17086, 18840)","[24654, 31999)","[26036, 42972)",DebtCon,Mgr,"[17, 18)",0,0,"[93, 116)",1,16,"[23, 25)"
107,1332,"[17086, 18840)","[39344, 46689)","[76844, 93780)",DebtCon,Mgr,"[1, 2)",0,0,"[116, 140)",0,9,"[25, 28)"
108,1401,"[17086, 18840)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[10, 11)",2,0,"[70, 93)",3,28,nan
109,1316,"[17086, 18840)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[29, 30)",0,0,"[280, 303)",1,16,"[37, 40)"
110,1326,"[17086, 18840)","[46689, 54034)","[76844, 93780)",DebtCon,Mgr,"[4, 5)",0,0,"[116, 140)",0,8,"[28, 31)"
111,1371,"[17086, 18840)","[61379, 68724)","[76844, 93780)",DebtCon,Mgr,"[0, 1)",0,0,"[70, 93)",0,18,"[25, 28)"
112,1408,"[17086, 18840)","[68724, 76070)","[76844, 93780)",DebtCon,Mgr,"[0, 1)",0,0,"[93, 116)",0,16,"[25, 28)"
113,1373,"[17086, 18840)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[1, 2)",0,0,"[70, 93)",0,17,"[25, 28)"
114,1430,"[17086, 18840)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[6, 7)",0,0,"[70, 93)",7,24,nan
115,1320,"[17086, 18840)","[76070, 83415)","[110717, 127653)",DebtCon,Mgr,"[17, 18)",0,0,"[233, 257)",4,30,"[34, 37)"
116,1389,"[17086, 18840)","[83415, 90760)","[127653, 144589)",DebtCon,Mgr,"[13, 14)",0,0,"[163, 187)",1,26,"[31, 34)"
117,1376,"[17086, 18840)","[90760, 98105)","[127653, 144589)",DebtCon,Mgr,"[5, 6)",nan,nan,"[233, 257)",3,42,"[40, 43)"
118,1404,"[17086, 18840)","[90760, 98105)","[127653, 144589)",DebtCon,Mgr,"[15, 16)",0,0,"[163, 187)",2,26,"[34, 37)"
119,1449,"[17086, 18840)","[90760, 98105)","[161525, 178461)",DebtCon,Mgr,"[2, 3)",0,0,"[187, 210)",1,19,"[37, 40)"
120,1340,"[17086, 18840)","[98105, 105450)","[161525, 178461)",DebtCon,Mgr,"[0, 1)",0,0,"[187, 210)",1,18,"[37, 40)"
121,1436,"[17086, 18840)","[127485, 134830)","[144589, 161525)",DebtCon,Mgr,nan,0,0,"[210, 233)",0,20,"[37, 40)"
122,1363,"[17086, 18840)","[134830, 142175)","[178461, 195397)",DebtCon,Mgr,"[12, 13)",0,0,"[233, 257)",0,21,"[28, 31)"
123,1394,"[17086, 18840)","[142175, 149521)","[178461, 195397)",DebtCon,Mgr,"[11, 12)",0,0,"[233, 257)",0,21,"[25, 28)"
124,1514,"[18840, 20594)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[0, 1)",0,0,"[70, 93)",0,17,"[25, 28)"
125,1547,"[18840, 20594)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[4, 5)",0,0,"[93, 116)",0,17,nan
126,1598,"[18840, 20594)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[7, 8)",0,0,"[70, 93)",7,23,"[37, 40)"
127,1468,"[18840, 20594)","[76070, 83415)","[110717, 127653)",DebtCon,Mgr,"[16, 17)",0,0,"[233, 257)",5,30,"[37, 40)"
128,1585,"[18840, 20594)","[76070, 83415)","[110717, 127653)",DebtCon,Mgr,"[25, 26)",nan,0,"[303, 327)",1,42,"[37, 40)"
129,1561,"[18840, 20594)","[83415, 90760)","[93780, 110717)",DebtCon,Mgr,"[18, 19)",0,0,"[233, 257)",5,30,"[37, 40)"
130,1511,"[18840, 20594)","[83415, 90760)","[110717, 127653)",DebtCon,Mgr,"[18, 19)",0,0,"[233, 257)",4,31,"[34, 37)"
131,1505,"[18840, 20594)","[83415, 90760)","[127653, 144589)",DebtCon,Mgr,"[13, 14)",0,0,"[163, 187)",1,25,"[31, 34)"
132,1480,"[18840, 20594)","[98105, 105450)","[110717, 127653)",DebtCon,Mgr,"[10, 11)",0,nan,"[70, 93)",0,27,"[40, 43)"
133,1539,"[18840, 20594)","[112795, 120140)","[144589, 161525)",DebtCon,Mgr,"[3, 4)",0,0,"[70, 93)",0,29,nan
134,1462,"[18840, 20594)","[127485, 134830)","[144589, 161525)",DebtCon,Mgr,nan,0,0,"[210, 233)",0,18,"[34, 37)"
135,1628,"[20594, 22348)","[46689, 54034)","[76844, 93780)",DebtCon,Mgr,"[9, 10)",2,0,"[46, 70)",2,27,"[34, 37)"
136,1681,"[20594, 22348)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[2, 3)",nan,nan,"[210, 233)",5,24,nan
137,1695,"[20594, 22348)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[9, 10)",0,0,"[187, 210)",1,19,"[34, 37)"
138,1606,"[20594, 22348)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[7, 8)",0,0,"[46, 70)",7,24,"[37, 40)"
139,1654,"[20594, 22348)","[83415, 90760)","[93780, 110717)",DebtCon,Mgr,"[24, 25)",nan,1,"[303, 327)",0,43,"[37, 40)"
140,1700,"[20594, 22348)","[90760, 98105)","[110717, 127653)",DebtCon,Mgr,"[24, 25)",0,2,"[280, 303)",3,36,nan
141,1623,"[20594, 22348)","[90760, 98105)","[127653, 144589)",DebtCon,Mgr,"[13, 14)",0,0,"[163, 187)",1,25,"[31, 34)"
142,1670,"[20594, 22348)","[142175, 149521)","[178461, 195397)",DebtCon,Mgr,"[0, 1)",1,4,"[303, 327)",2,18,"[37, 40)"
143,1847,"[22348, 24102)","[24654, 31999)","[42972, 59908)",DebtCon,Mgr,"[11, 12)",0,4,"[23, 46)",0,12,nan
144,1728,"[22348, 24102)","[46689, 54034)","[59908, 76844)",DebtCon,Mgr,"[9, 10)",0,0,"[23, 46)",2,8,"[37, 40)"
145,1812,"[22348, 24102)","[54034, 61379)","[76844, 93780)",DebtCon,Mgr,"[4, 5)",0,0,"[257, 280)",1,25,"[31, 34)"
146,1822,"[22348, 24102)","[54034, 61379)","[76844, 93780)",DebtCon,Mgr,"[5, 6)",0,0,"[257, 280)",2,25,"[31, 34)"
147,1805,"[22348, 24102)","[61379, 68724)","[76844, 93780)",DebtCon,Mgr,"[6, 7)",0,0,"[187, 210)",2,18,"[31, 34)"
148,1786,"[22348, 24102)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[1, 2)",nan,nan,"[210, 233)",5,24,"[37, 40)"
149,1808,"[22348, 24102)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[2, 3)",nan,nan,"[210, 233)",5,23,"[40, 43)"
150,1730,"[22348, 24102)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[2, 3)",nan,nan,"[233, 257)",5,23,"[40, 43)"
151,1745,"[22348, 24102)","[68724, 76070)","[110717, 127653)",DebtCon,Mgr,"[9, 10)",0,1,"[280, 303)",1,28,"[28, 31)"
152,1763,"[22348, 24102)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[1, 2)",nan,nan,"[210, 233)",5,23,"[40, 43)"
153,1795,"[22348, 24102)","[98105, 105450)","[127653, 144589)",DebtCon,Mgr,"[9, 10)",1,0,"[187, 210)",5,18,"[40, 43)"
154,1720,"[22348, 24102)","[98105, 105450)","[127653, 144589)",DebtCon,Mgr,"[10, 11)",2,0,"[187, 210)",5,18,nan
155,1733,"[22348, 24102)","[105450, 112795)","[144589, 161525)",DebtCon,Mgr,"[15, 16)",0,0,"[163, 187)",0,25,"[31, 34)"
156,1776,"[22348, 24102)","[105450, 112795)","[144589, 161525)",DebtCon,Mgr,"[16, 17)",0,0,"[163, 187)",0,26,"[34, 37)"
157,1844,"[22348, 24102)","[105450, 112795)","[161525, 178461)",DebtCon,Mgr,"[15, 16)",0,0,"[163, 187)",0,25,"[31, 34)"
158,1753,"[22348, 24102)","[149521, 156866)","[178461, 195397)",DebtCon,Mgr,"[0, 1)",0,0,"[233, 257)",0,27,nan
159,1946,"[24102, 25856)","[46689, 54034)","[76844, 93780)",DebtCon,Mgr,"[4, 5)",0,0,"[233, 257)",2,25,"[31, 34)"
160,1888,"[24102, 25856)","[46689, 54034)","[76844, 93780)",DebtCon,Mgr,"[4, 5)",0,0,"[233, 257)",2,25,"[34, 37)"
161,1947,"[24102, 25856)","[54034, 61379)","[76844, 93780)",DebtCon,Mgr,"[6, 7)",0,0,"[257, 280)",1,25,"[31, 34)"
162,1930,"[24102, 25856)","[68724, 76070)","[93780, 110717)",DebtCon,Mgr,"[1, 2)",nan,nan,"[210, 233)",4,24,"[40, 43)"
163,1914,"[24102, 25856)","[68724, 76070)","[110717, 127653)",DebtCon,Mgr,"[3, 4)",2,0,"[70, 93)",1,27,nan
164,1966,"[24102, 25856)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[0, 1)",nan,nan,"[210, 233)",5,24,"[40, 43)"
165,1949,"[24102, 25856)","[76070, 83415)","[93780, 110717)",DebtCon,Mgr,"[0, 1)",nan,nan,"[233, 257)",5,23,"[40, 43)"
166,1889,"[24102, 25856)","[76070, 83415)","[110717, 127653)",DebtCon,Mgr,"[9, 10)",0,1,"[303, 327)",2,28,"[28, 31)"
167,1857,"[24102, 25856)","[98105, 105450)","[144589, 161525)",DebtCon,Mgr,"[14, 15)",0,0,"[163, 187)",0,25,"[31, 34)"
168,1967,"[24102, 25856)","[105450, 112795)","[110717, 127653)",DebtCon,Mgr,"[25, 26)",0,2,"[303, 327)",2,35,"[34, 37)"
169,1887,"[24102, 25856)","[105450, 112795)","[127653, 144589)",DebtCon,Mgr,"[10, 11)",1,0,"[163, 187)",5,17,"[40, 43)"
170,1891,"[24102, 25856)","[105450, 112795)","[127653, 144589)",DebtCon,Mgr,"[11, 12)",2,0,"[163, 187)",5,18,"[40, 43)"
171,1886,"[24102, 25856)","[105450, 112795)","[161525, 178461)",DebtCon,Mgr,"[15, 16)",0,1,"[163, 187)",1,26,"[31, 34)"
172,1872,"[24102, 25856)","[112795, 120140)","[144589, 161525)",DebtCon,Mgr,"[2, 3)",0,0,"[280, 303)",0,24,"[37, 40)"
173,1864,"[24102, 25856)","[112795, 120140)","[144589, 161525)",DebtCon,Mgr,"[3, 4)",0,0,"[280, 303)",0,25,"[37, 40)"
174,1879,"[24102, 25856)","[112795, 120140)","[161525, 178461)",DebtCon,Mgr,"[15, 16)",0,0,"[187, 210)",0,26,"[31, 34)"
175,1878,"[24102, 25856)","[120140, 127485)","[144589, 161525)",DebtCon,Mgr,"[2, 3)",0,0,"[280, 303)",0,25,"[37, 40)"
176,1909,"[24102, 25856)",nan,"[110717, 127653)",DebtCon,Mgr,"[9, 10)",1,0,"[163, 187)",0,27,nan
177,2028,"[25856, 27610)","[31999, 39344)","[59908, 76844)",DebtCon,Mgr,"[14, 15)",0,0,"[70, 93)",5,15,"[34, 37)"
178,2014,"[25856, 27610)","[31999, 39344)","[59908, 76844)",DebtCon,Mgr,"[14, 15)",1,0,"[70, 93)",6,16,nan
179,2021,"[25856, 27610)","[39344, 46689)","[59908, 76844)",DebtCon,Mgr,"[14, 15)",1,0,"[93, 116)",5,15,"[34, 37)"
180,1992,"[25856, 27610)","[98105, 105450)","[127653, 144589)",DebtCon,Mgr,"[9, 10)",2,0,"[163, 187)",4,17,"[37, 40)"
181,2056,"[25856, 27610)","[98105, 105450)","[127653, 144589)",DebtCon,Mgr,"[21, 22)",0,0,"[210, 233)",0,12,"[37, 40)"
182,2072,"[25856, 27610)","[120140, 127485)","[144589, 161525)",DebtCon,Mgr,"[2, 3)",0,0,"[280, 303)",0,24,"[34, 37)"
183,2068,"[25856, 27610)","[120140, 127485)","[144589, 161525)",DebtCon,Mgr,"[2, 3)",0,0,"[280, 303)",0,24,"[40, 43)"
